,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
0,tt0043745,short,Lion Down,Lion Down,0,1951.0,,7.0,"['Animation', 'Comedy', 'Family']",7.1,459
1,tt0167491,video,Wicked Covergirls,Wicked Covergirls,1,1998.0,,85.0,[],5.7,7
2,tt6574096,tvEpisode,Shadow Play - Part 2,Shadow Play - Part 2,0,2017.0,,22.0,"['Adventure', 'Animation', 'Comedy']",8.5,240
5,tt2262289,movie,The Pin,The Pin,0,2013.0,,85.0,[],7.7,27
6,tt0874027,tvEpisode,Episode #32.9,Episode #32.9,0,2006.0,,29.0,"['Comedy', 'Game-Show', 'News']",8.0,8
9,tt0981201,tvSeries,Favouritism,Favouritism,0,2005.0,2005.0,48.0,[],6.9,7
10,tt0313258,tvMovie,Barefoot in the Park,Barefoot in the Park,0,1982.0,,128.0,[],7.6,180
11,tt0642245,tvEpisode,"Cheese, Cues, and Blood","Cheese, Cues, and Blood",0,1991.0,,23.0,[],8.1,339
12,tt2353837,video,Belladonna's How to... Fuck,Belladonna's How to... Fuck,1,2012.0,,225.0,[],7.5,11
13,tt2447920,movie,Point B,Point B,0,2013.0,,94.0,"['Comedy', 'Sci-Fi']",5.9,48
14,tt0231511,movie,"Two Loves, Two Worlds","Dyo agapes, dyo kosmoi",0,1958.0,,88.0,[],4.8,11
15,tt3101632,movie,Lascados,Lascados,0,2014.0,,89.0,[],4.3,91
17,tt3454828,movie,The Gospel of John,The Gospel of John,0,2014.0,,160.0,[],7.6,606
22,tt0280661,movie,Far from China,Far from China,0,2001.0,,89.0,[],6.8,24
23,tt0346317,tvSeries,Korkeajännitystä - eli sähköä kotiinkuljetettuna,Korkeajännitystä - eli sähköä kotiinkuljetettuna,0,2001.0,,22.0,[],6.5,19
24,tt0119553,movie,Little Shots of Happiness,Little Shots of Happiness,0,1997.0,,83.0,[],6.1,96
25,tt6391206,tvEpisode,Episode #1.1,Episode #1.1,0,2017.0,,47.0,[],7.8,12
26,tt6996794,tvEpisode,The Play: Part 1,The Play: Part 1,0,2018.0,,25.0,"['Comedy', 'Drama']",8.4,68
28,tt0789720,tvEpisode,Croppity Crops,Croppity Crops,0,2006.0,,28.0,[],7.4,17
29,tt0385764,video,The Hustle,The Hustle,0,2003.0,,93.0,[],5.0,53
30,tt0714221,tvEpisode,The Woman Turned to Salt,The Woman Turned to Salt,0,1958.0,,60.0,"['Crime', 'Drama', 'Mystery']",7.2,8
